state,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,UP,RIGHT,DOWN,LEFT,WAIT,BOMB,best_action,best_q_value
"('BOMBING', 'LEFT', 12, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,LEFT,12,UNSAFE,UNNECESSARY,NONE,-0.254662,-0.26906145,0.2701578,1.0707046,-0.17676583,-1.7020602,LEFT,1.0707046
"('BOMBING', 'LEFT', 12, 'UNSAFE', 'UNNECESSARY', 'WAIT')",BOMBING,LEFT,12,UNSAFE,UNNECESSARY,WAIT,-0.101,-0.101,-0.011,0.4008222,0.0,-0.8829289,LEFT,0.4008222
"('BOMBING', 'HERE', 1, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,1,GOOD_HIGH,UNNECESSARY,DOWN,0.030117774,-0.39297882,-0.103208244,-0.41591835,-0.13821,1.3846956,BOMB,1.3846956
"('BOMBING', 'HERE', 1, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,1,GOOD_HIGH,UNNECESSARY,WAIT,-0.011,-0.1919,-0.101,-0.101,-0.051,0.50474155,BOMB,0.50474155
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,UP,1,UNAVAILABLE,UNNECESSARY,BOMB,1.4459063,0.12932292,-0.6645864,-0.16384523,-0.25564432,0.43108723,UP,1.4459063
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'WAIT')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,WAIT,-1.8681693,-1.2015396,-1.3646553,-1.4832978,-1.2443932,-1.3919,RIGHT,-1.2015396
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'BOMB')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,BOMB,-7.5395126,-7.776884,-7.1848097,-7.848391,-4.1597013,-7.6712813,WAIT,-4.1597013
"('BOMBING', 'UP', 9, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,UP,9,UNSAFE,UNNECESSARY,NONE,1.1885076,0.0,-0.101,0.041281037,0.0,-0.51009,UP,1.1885076
"('BOMBING', 'HERE', 2, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,HERE,2,GOOD_HIGH,UNNECESSARY,LEFT,-0.39971364,-0.074246354,-0.41549343,-0.06027966,-0.18606639,1.018556,BOMB,1.018556
"('BOMBING', 'UP', 9, 'UNSAFE', 'UNNECESSARY', 'RIGHT')",BOMBING,UP,9,UNSAFE,UNNECESSARY,RIGHT,0.009,-0.101,-0.101,0.0,0.0,0.0,UP,0.009
"('BOMBING', 'UP', 9, 'UNSAFE', 'UNNECESSARY', 'DOWN')",BOMBING,UP,9,UNSAFE,UNNECESSARY,DOWN,-0.016,-0.101,-0.101,-0.011,-0.051,-0.501,LEFT,-0.011
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'LEFT')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,LEFT,-8.632952,-8.510786,-6.3961544,-8.399468,-8.66944,-8.535806,DOWN,-6.3961544
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'DOWN')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,DOWN,-8.303229,-8.103805,-8.038557,-8.071466,-7.589721,-7.95132,WAIT,-7.589721
"('BOMBING', 'LEFT', 12, 'UNSAFE', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,12,UNSAFE,UNNECESSARY,RIGHT,-0.10028326,-0.101,-0.011,0.16285086,-0.051,-0.501,LEFT,0.16285086
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'RIGHT')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,RIGHT,-8.716268,-9.397676,-9.47712,-9.23428,-9.207704,-9.203858,UP,-8.716268
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",ESCAPE,RIGHT,2,UNAVAILABLE,UNNECESSARY,WAIT,-0.5184631,0.6815726,-0.501901,-0.8438518,-0.7304499,-0.5635582,RIGHT,0.6815726
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNSAFE', 'BOMB')",ESCAPE,RIGHT,2,UNAVAILABLE,UNSAFE,BOMB,-1.6249592,2.4977531,-0.59886694,-1.361542,-0.7564827,-0.5706935,RIGHT,2.4977531
"('BOMBING', 'DOWN', 6, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,DOWN,6,UNSAFE,UNNECESSARY,NONE,-0.27371,0.0,1.2613822,-0.19109428,-0.118974395,-1.6515458,DOWN,1.2613822
"('BOMBING', 'HERE', 1, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,HERE,1,GOOD_HIGH,UNNECESSARY,LEFT,-0.011,-0.10109,-0.101171,-0.101,-0.051,0.6153546,BOMB,0.6153546
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",ESCAPE,UP,1,UNAVAILABLE,UNNECESSARY,WAIT,-1.1229799,-0.91245985,-0.7279905,-1.0370741,-0.66252553,-0.8155532,WAIT,-0.66252553
"('BOMBING', 'HERE', 2, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",BOMBING,HERE,2,GOOD_HIGH,UNNECESSARY,UP,-0.101,-0.011,-0.100951836,-0.10211894,-0.051,0.8022478,BOMB,0.8022478
"('BOMBING', 'HERE', 2, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,2,GOOD_HIGH,UNNECESSARY,WAIT,-0.101,-0.011,-0.101,-0.10096669,-0.051,0.7120949,BOMB,0.7120949
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",ESCAPE,RIGHT,2,UNAVAILABLE,UNNECESSARY,UP,-0.053859517,1.9084185,-0.7490176,0.41918743,-0.0969,0.016228259,RIGHT,1.9084185
"('BOMBING', 'RIGHT', 3, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,RIGHT,3,UNSAFE,UNNECESSARY,NONE,-0.011,1.2611358,0.0,-0.1876311,0.0,0.0,RIGHT,1.2611358
"('BOMBING', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,RIGHT,10,GOOD_HIGH,UNNECESSARY,RIGHT,-0.101,1.2934686,-0.2723085,0.021121647,-0.091018856,-0.00021401461,RIGHT,1.2934686
"('BOMBING', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,RIGHT,10,GOOD_HIGH,UNNECESSARY,DOWN,-0.101,0.10785787,0.0,0.0,0.0,0.0,RIGHT,0.10785787
"('BOMBING', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",BOMBING,RIGHT,10,GOOD_HIGH,UNNECESSARY,UP,-0.101,0.3173372,-0.098928645,-0.011,-0.010511242,-0.001,RIGHT,0.3173372
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",ESCAPE,LEFT,8,UNAVAILABLE,UNNECESSARY,DOWN,-1.6167514,-0.051173,0.020155445,0.60318047,-0.08736132,-0.076273784,LEFT,0.60318047
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNSAFE', 'DOWN')",ESCAPE,LEFT,8,UNAVAILABLE,UNSAFE,DOWN,-4.318762,-0.9322523,-4.1594176,1.6006771,-2.209631,-1.6322871,LEFT,1.6006771
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'WAIT')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,WAIT,-7.9163976,-8.235204,-7.7064977,-7.957502,-7.8467307,-8.042049,DOWN,-7.7064977
"('BOMBING', 'HERE', 2, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,2,GOOD_HIGH,UNNECESSARY,DOWN,-0.101,-0.011,0.0,0.0,-0.051,0.661933,BOMB,0.661933
"('BOMBING', 'LEFT', 9, 'UNSAFE', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,9,UNSAFE,UNNECESSARY,RIGHT,0.43318954,-0.101,-0.101,-0.016954474,-0.051,-0.7056341,UP,0.43318954
"('BOMBING', 'LEFT', 9, 'UNSAFE', 'UNNECESSARY', 'WAIT')",BOMBING,LEFT,9,UNSAFE,UNNECESSARY,WAIT,0.0,-0.101,-0.101,0.0,-0.051,-0.51009,UP,0.0
"('BOMBING', 'LEFT', 9, 'UNSAFE', 'UNNECESSARY', 'DOWN')",BOMBING,LEFT,9,UNSAFE,UNNECESSARY,DOWN,-0.03609,-0.08981917,-0.101,0.014604345,-0.051,-0.7085447,LEFT,0.014604345
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",ESCAPE,DOWN,4,UNAVAILABLE,UNNECESSARY,RIGHT,0.24443386,0.2232016,2.3306177,0.07276121,-0.12883611,-0.046919063,DOWN,2.3306177
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",ESCAPE,DOWN,4,UNAVAILABLE,UNNECESSARY,UP,0.0,-0.101,0.5932649,-0.4130357,0.1296419,0.06773406,DOWN,0.5932649
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNSAFE', 'RIGHT')",ESCAPE,DOWN,4,UNAVAILABLE,UNSAFE,RIGHT,-3.6689787,-3.161439,4.3297224,-1.701956,-1.2777035,-1.9019,DOWN,4.3297224
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",ESCAPE,RIGHT,2,UNAVAILABLE,UNNECESSARY,LEFT,-0.8819026,0.9211142,-0.101,0.0,0.213171,-0.088039756,RIGHT,0.9211142
"('BOMBING', 'HERE', 1, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,HERE,1,GOOD_HIGH,UNNECESSARY,RIGHT,-0.011,-0.101,-0.10071981,-0.101,-0.051,0.5897219,BOMB,0.5897219
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",ESCAPE,UP,1,UNAVAILABLE,UNNECESSARY,DOWN,1.0847801,-0.1919,-0.101,-0.101,0.0,-0.051058304,UP,1.0847801
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'BOMB')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,BOMB,1.8128694,-2.80675,-2.4486856,-2.0581384,-2.7415223,-3.2537212,UP,1.8128694
"('BOMBING', 'UP', 9, 'UNSAFE', 'UNNECESSARY', 'WAIT')",BOMBING,UP,9,UNSAFE,UNNECESSARY,WAIT,0.0,0.0,0.0,-0.011,0.0,0.0,UP,0.0
"('BOMBING', 'LEFT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,LEFT,10,GOOD_HIGH,UNNECESSARY,LEFT,-0.090125635,0.0,-0.20981725,1.0559375,-0.084955186,0.33944327,LEFT,1.0559375
"('BOMBING', 'RIGHT', 6, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,RIGHT,6,UNSAFE,UNNECESSARY,NONE,-0.2729959,1.29749,0.13789363,-0.10244,-0.0969,-0.8959719,RIGHT,1.29749
"('BOMBING', 'RIGHT', 6, 'UNSAFE', 'UNNECESSARY', 'WAIT')",BOMBING,RIGHT,6,UNSAFE,UNNECESSARY,WAIT,-0.099170715,0.13544285,0.0,-0.2747,-0.051,0.0,RIGHT,0.13544285
"('BOMBING', 'RIGHT', 6, 'UNSAFE', 'UNNECESSARY', 'LEFT')",BOMBING,RIGHT,6,UNSAFE,UNNECESSARY,LEFT,-0.101,-0.031242073,0.1656955,-0.101,-0.051,-0.509271,DOWN,0.1656955
"('BOMBING', 'RIGHT', 6, 'UNSAFE', 'UNNECESSARY', 'UP')",BOMBING,RIGHT,6,UNSAFE,UNNECESSARY,UP,-0.101,0.14169383,-0.036,-0.193781,-0.051,-0.5175339,RIGHT,0.14169383
"('BOMBING', 'RIGHT', 3, 'GOOD_HIGH', 'UNNECESSARY', 'NONE')",BOMBING,RIGHT,3,GOOD_HIGH,UNNECESSARY,NONE,-0.011,1.1528146,0.0,-0.101,-0.051,0.09987875,RIGHT,1.1528146
"('BOMBING', 'RIGHT', 3, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,RIGHT,3,GOOD_HIGH,UNNECESSARY,WAIT,-0.011,0.0,-0.09595878,-0.101150595,-0.051,-0.001,RIGHT,0.0
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'UP')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,UP,2.038571,-7.8346777,-6.991341,-8.253604,-6.8370137,-5.1396904,UP,2.038571
"('BOMBING', 'HERE', 4, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",BOMBING,HERE,4,GOOD_HIGH,UNNECESSARY,UP,0.05814045,-0.31293115,0.03226036,-0.38259637,-0.03452627,1.3283978,BOMB,1.3283978
"('BOMBING', 'HERE', 4, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,4,GOOD_HIGH,UNNECESSARY,WAIT,-0.101,-0.101,-0.008925044,-0.101,-0.051,0.72493976,BOMB,0.72493976
"('BOMBING', 'HERE', 4, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,HERE,4,GOOD_HIGH,UNNECESSARY,LEFT,-0.09857179,-0.101,-0.011,-0.101,-0.051,0.72048354,BOMB,0.72048354
"('BOMBING', 'HERE', 4, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,HERE,4,GOOD_HIGH,UNNECESSARY,RIGHT,-0.098451085,-0.101,-0.011,-0.10105073,-0.051,0.6888965,BOMB,0.6888965
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,DOWN,4,UNAVAILABLE,UNNECESSARY,BOMB,-1.8170543,0.28004253,1.6120304,0.2609552,-0.036122605,0.15746059,DOWN,1.6120304
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",ESCAPE,DOWN,4,UNAVAILABLE,UNNECESSARY,WAIT,-0.6611838,-0.42067456,-0.5360995,-0.8997552,-0.43816116,-0.46875855,RIGHT,-0.42067456
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNSAFE', 'LEFT')",ESCAPE,DOWN,4,UNAVAILABLE,UNSAFE,LEFT,-2.4517102,-2.2486062,3.1487594,-1.6063339,-2.8927102,-1.9019,DOWN,3.1487594
"('NONE', 'NONE', 0, 'UNAVAILABLE', 'NECESSARY', 'DOWN')",NONE,NONE,0,UNAVAILABLE,NECESSARY,DOWN,-5.912195,-0.7461789,-0.023099348,0.03294754,2.470318,-0.029997118,WAIT,2.470318
"('BOMBING', 'HERE', 8, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,HERE,8,GOOD_HIGH,UNNECESSARY,RIGHT,-0.2549965,-0.18322448,-0.45855138,0.21021219,-0.11824175,1.6057707,BOMB,1.6057707
"('BOMBING', 'HERE', 8, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,8,GOOD_HIGH,UNNECESSARY,DOWN,-0.1919,-0.101,-0.101,-0.0209,-0.051,0.40475717,BOMB,0.40475717
"('BOMBING', 'HERE', 8, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,8,GOOD_HIGH,UNNECESSARY,WAIT,-0.101,-0.10203707,-0.101,-0.011,-0.09715532,0.6997869,BOMB,0.6997869
"('BOMBING', 'HERE', 8, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",BOMBING,HERE,8,GOOD_HIGH,UNNECESSARY,UP,-0.101,-0.10125929,-0.101,-0.011,-0.051,0.47128993,BOMB,0.47128993
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",ESCAPE,LEFT,8,UNAVAILABLE,UNNECESSARY,UP,-0.07763671,0.21244791,-0.9249437,1.4454477,0.08331508,0.1519289,LEFT,1.4454477
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNSAFE', 'WAIT')",ESCAPE,LEFT,8,UNAVAILABLE,UNSAFE,WAIT,-3.8867412,-2.8848124,-0.19109,1.4378434,-0.8356981,-0.7254622,LEFT,1.4378434
"('BOMBING', 'DOWN', 12, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,DOWN,12,UNSAFE,UNNECESSARY,NONE,-0.101,-0.190361,1.188436,0.09588029,-0.13598797,-0.518271,DOWN,1.188436
"('BOMBING', 'DOWN', 12, 'UNSAFE', 'UNNECESSARY', 'WAIT')",BOMBING,DOWN,12,UNSAFE,UNNECESSARY,WAIT,0.0,0.0,0.12031964,0.0,0.0,0.0,DOWN,0.12031964
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",ESCAPE,DOWN,4,UNAVAILABLE,UNNECESSARY,LEFT,-0.1919,-0.25452748,2.1705282,0.019769296,-0.028511241,-0.13171382,DOWN,2.1705282
"('ESCAPE', 'DOWN', 4, 'UNAVAILABLE', 'UNSAFE', 'BOMB')",ESCAPE,DOWN,4,UNAVAILABLE,UNSAFE,BOMB,-2.9183176,-1.6853336,2.278401,-3.0800958,-1.0495113,-0.8135865,DOWN,2.278401
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",ESCAPE,UP,1,UNAVAILABLE,UNNECESSARY,RIGHT,-0.48052374,-0.5293801,-0.48718122,-1.3137614,-0.4520197,0.24920519,BOMB,0.24920519
"('NONE', 'NONE', 4, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",NONE,NONE,4,UNAVAILABLE,UNNECESSARY,UP,-1.1573603,-0.101,0.12948938,-0.036960803,-0.11179468,-0.27612418,DOWN,0.12948938
"('NONE', 'NONE', 0, 'UNAVAILABLE', 'NECESSARY', 'RIGHT')",NONE,NONE,0,UNAVAILABLE,NECESSARY,RIGHT,-0.14820266,0.08492617,0.65740913,-1.8819,3.006173,0.58038366,WAIT,3.006173
"('COIN', 'DOWN', 0, 'UNAVAILABLE', 'NECESSARY', 'BOMB')",COIN,DOWN,0,UNAVAILABLE,NECESSARY,BOMB,-0.101,-0.101,-1.201,-0.101,0.092364565,-0.101,WAIT,0.092364565
"('COIN', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,DOWN,4,UNAVAILABLE,UNNECESSARY,LEFT,0.0,-0.10038845,0.4980283,-0.101,-0.0488049,-0.101,DOWN,0.4980283
"('COIN', 'DOWN', 4, 'GOOD_HIGH', 'UNNECESSARY', 'BOMB')",COIN,DOWN,4,GOOD_HIGH,UNNECESSARY,BOMB,-0.101,0.0,0.17972052,0.0,0.0,0.0,DOWN,0.17972052
"('COIN', 'DOWN', 4, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",COIN,DOWN,4,GOOD_HIGH,UNNECESSARY,UP,-0.08015219,-0.14875214,0.0,-0.101,-0.09411441,1.2300602,BOMB,1.2300602
"('COIN', 'DOWN', 4, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,DOWN,4,GOOD_HIGH,UNNECESSARY,WAIT,0.0,0.0,0.35359728,0.0,-0.051,0.0,DOWN,0.35359728
"('COIN', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",COIN,LEFT,9,GOOD_HIGH,UNNECESSARY,DOWN,0.0410271,-0.101,-0.05407918,1.6398826,-0.12598601,0.1627038,LEFT,1.6398826
"('COIN', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",COIN,LEFT,9,GOOD_HIGH,UNNECESSARY,RIGHT,0.0,-0.101,-0.101,0.8094064,0.0,0.0,LEFT,0.8094064
"('COIN', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,LEFT,9,GOOD_HIGH,UNNECESSARY,WAIT,0.0,0.0,0.0,0.2756462,-0.051,0.0,LEFT,0.2756462
"('COIN', 'LEFT', 10, 'USELESS', 'UNNECESSARY', 'LEFT')",COIN,LEFT,10,USELESS,UNNECESSARY,LEFT,-0.0037979893,0.46537197,-3.9055943e-05,1.6570048,0.25143477,-0.10498948,LEFT,1.6570048
"('COIN', 'LEFT', 10, 'USELESS', 'UNNECESSARY', 'UP')",COIN,LEFT,10,USELESS,UNNECESSARY,UP,-0.101,0.0,-0.101,1.4317697,-0.051,-0.151,LEFT,1.4317697
"('ESCAPE', 'RIGHT', 10, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,RIGHT,10,UNAVAILABLE,UNNECESSARY,BOMB,-0.09030807,0.261527,0.10646291,1.5019363,0.45018017,0.16465941,LEFT,1.5019363
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'DOWN')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,DOWN,1.9595686,-4.5101323,-2.7379959,-3.1765442,-0.09109,-2.1534548,UP,1.9595686
"('BOMBING', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,UP,1,GOOD_HIGH,UNNECESSARY,DOWN,-0.016,-0.3361282,-0.101,-0.101,-0.12891369,1.2973186,BOMB,1.2973186
"('BOMBING', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,UP,1,GOOD_HIGH,UNNECESSARY,LEFT,0.26343256,0.0,-0.17817202,0.0,0.0,0.0,UP,0.26343256
"('BOMBING', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,UP,1,GOOD_HIGH,UNNECESSARY,WAIT,0.30936995,-0.101,-0.101,0.0,-0.051,-0.001171,UP,0.30936995
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'LEFT')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,LEFT,2.2571623,-3.931469,-5.5445857,-4.79018,-1.191081,-3.16571,UP,2.2571623
"('BOMBING', 'UP', 5, 'GOOD_LOW', 'UNNECESSARY', 'UP')",BOMBING,UP,5,GOOD_LOW,UNNECESSARY,UP,1.1845863,-0.1919,-0.05008411,-0.17283547,-0.1426442,0.71213955,UP,1.1845863
"('BOMBING', 'UP', 5, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",BOMBING,UP,5,GOOD_LOW,UNNECESSARY,LEFT,0.0,0.0,-0.011,-0.101,-0.049461,0.4165105,BOMB,0.4165105
"('BOMBING', 'RIGHT', 2, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",BOMBING,RIGHT,2,GOOD_HIGH,UNNECESSARY,LEFT,-0.101,-0.0304,-0.101,-0.101,-0.093797304,1.4443631,BOMB,1.4443631
"('BOMBING', 'DOWN', 6, 'UNSAFE', 'UNNECESSARY', 'UP')",BOMBING,DOWN,6,UNSAFE,UNNECESSARY,UP,-0.101,-0.01109,0.088542506,-0.0994464,-0.04133953,-0.60675704,DOWN,0.088542506
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",ESCAPE,LEFT,8,UNAVAILABLE,UNNECESSARY,RIGHT,-0.1919,-0.040385053,-0.02646551,0.97015995,-0.13821,-0.073285,LEFT,0.97015995
"('BOMBING', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",BOMBING,DOWN,5,GOOD_LOW,UNNECESSARY,DOWN,0.006273411,-0.30983,1.1705912,-0.2363218,-0.030632239,0.5778879,DOWN,1.1705912
"('BOMBING', 'HERE', 1, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,1,UNAVAILABLE,UNNECESSARY,DOWN,0.6606938,-0.09935375,-0.10927477,-0.101,-0.08225614,-0.101,UP,0.6606938
